F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3917.212121,3911.030303,4338.090909,4509.121212,4238.151515,4381.363636,5042.30303,4188.181818,-1
3918.242424,3914.121212,4344.272727,4510.151515,4241.242424,4383.939394,5040.242424,4192.818181,-1
3918.757575,3915.151515,4344.787878,4512.212121,4229.393939,4379.30303,5043.333333,4185.090909,-1
3917.212121,3913.60606,4341.181818,4510.666666,4219.60606,4375.181818,5039.727272,4178.90909,-1
3916.181818,3910.515151,4337.575757,4510.151515,4219.090909,4377.242424,5034.575757,4184.060606,-1
3916.181818,3908.969697,4335.515151,4510.151515,4219.090909,4378.787878,5034.575757,4189.212121,-1
3917.727272,3914.636363,4331.90909,4508.090909,4223.727272,4379.818181,5042.30303,4190.757575,-1
3918.242424,3911.545454,4328.30303,4510.151515,4230.939394,4384.454545,5051.060606,4196.939394,-1
3915.666666,3900.727272,4331.90909,4511.181818,4228.878787,4384.969697,5043.848484,4201.060606,-1
3916.181818,3900.727272,4338.090909,4512.212121,4226.30303,4375.696969,5025.30303,4188.696969,-1
3917.727272,3904.333333,4341.181818,4518.393939,4237.121212,4374.666666,5025.30303,4173.757575,-1
3916.696969,3899.696969,4343.242424,4520.969697,4248.454545,4384.969697,5039.212121,4173.757575,-1
3917.212121,3896.60606,4338.60606,4512.727272,4236.090909,4376.727272,5032.515151,4175.30303,-1
3919.272727,3897.636363,4327.787878,4508.090909,4212.393939,4356.121212,5008.818181,4167.575757,-1
3920.30303,3895.575757,4323.151515,4510.666666,4200.030303,4351.484848,4995.424242,4164.484848,-1
3919.272727,3894.545454,4324.181818,4509.636363,4192.30303,4355.090909,5003.666666,4161.393939,-1
3919.787878,3897.121212,4323.666666,4508.090909,4190.757575,4356.636363,5021.696969,4159.848484,-1
3918.242424,3895.575757,4321.60606,4510.666666,4203.636363,4360.757575,5022.727272,4166.545454,-1
3914.636363,3896.090909,4319.545454,4511.181818,4212.90909,4360.242424,5006.757575,4172.212121,-1
3915.666666,3897.636363,4321.090909,4511.181818,4210.848484,4357.151515,5002.121212,4171.181818,-1
3918.757575,3897.636363,4328.818181,4511.696969,4213.939394,4362.30303,5016.545454,4165,-1
3919.787878,3897.121212,4331.393939,4514.272727,4219.090909,4365.393939,5024.272727,4165,-1
3917.212121,3896.60606,4324.696969,4514.272727,4216.515151,4358.696969,5012.424242,4170.666666,-1
3914.636363,3896.090909,4323.666666,4510.151515,4215.484848,4359.212121,5003.666666,4175.818181,-1
3918.242424,3896.60606,4326.757575,4510.151515,4220.636363,4369,5013.969696,4178.90909,-1
3918.242424,3896.60606,4324.696969,4512.727272,4230.424242,4373.121212,5025.30303,4179.939394,-1
3915.151515,3895.060606,4321.60606,4511.696969,4239.696969,4370.545454,5021.696969,4179.424242,-1
3917.212121,3893,4320.060606,4511.696969,4233.515151,4364.878787,5013.454545,4175.818181,-1
3918.242424,3893,4318,4513.757575,4221.151515,4361.787878,5011.393939,4176.848484,-1
3916.181818,3894.030303,4319.030303,4513.242424,4224.242424,4363.848484,5012.424242,4178.393939,-1
3916.181818,3896.60606,4323.666666,4513.757575,4235.060606,4366.939394,5015,4170.151515,-1
3917.727272,3897.636363,4326.242424,4512.727272,4240.212121,4371.060606,5017.060606,4164.484848,-1
3918.242424,3894.545454,4327.272727,4513.242424,4241.757575,4371.060606,5019.636363,4172.212121,-1
3918.242424,3896.090909,4330.878787,4517.363636,4243.818181,4371.060606,5020.666666,4180.454545,-1
3917.727272,3898.151515,4329.333333,4516.333333,4240.727272,4374.151515,5017.575757,4179.939394,-1
3917.727272,3887.333333,4322.121212,4511.181818,4233.515151,4372.090909,5016.030303,4178.393939,-1
3919.272727,3880.121212,4320.060606,4512.212121,4237.121212,4366.424242,5013.454545,4178.90909,-1
3917.727272,3886.818181,4319.030303,4513.757575,4238.666666,4365.393939,5006.757575,4173.242424,-1
3915.666666,3888.878787,4315.424242,4509.636363,4225.787878,4364.878787,5005.212121,4168.60606,-1
3917.212121,3882.696969,4316.454545,4508.090909,4217.030303,4364.878787,5004.181818,4169.121212,-1
3918.242424,3883.212121,4320.575757,4511.181818,4223.727272,4364.878787,4995.939393,4165,-1
3915.666666,3883.212121,4317.484848,4512.212121,4231.969697,4364.878787,4999.545454,4162.424242,-1
3918.242424,3878.060606,4312.333333,4510.666666,4234.545454,4365.90909,5011.393939,4164.484848,-1
3920.818181,3879.090909,4312.848484,4510.151515,4229.393939,4365.90909,5002.636363,4164.484848,-1
3918.242424,3880.636363,4313.878787,4511.181818,4223.212121,4363.848484,4989.757575,4163.969697,-1
3915.151515,3879.090909,4313.878787,4512.727272,4224.242424,4359.212121,4993.363636,4162.939394,-1
3914.121212,3878.575757,4313.878787,4510.666666,4224.242424,4355.60606,4995.939393,4160.363636,-1
3914.121212,3878.060606,4313.363636,4510.151515,4223.727272,4357.151515,4994.393939,4162.424242,-1
3912.575757,3879.60606,4313.363636,4512.727272,4229.90909,4360.242424,5000.575757,4169.121212,-1
3913.60606,3880.121212,4314.393939,4510.666666,4235.575757,4361.272727,5005.727272,4168.60606,-1
3919.787878,3878.060606,4314.90909,4508.090909,4233,4363.848484,4998,4165,-1
3921.333333,3877.545454,4314.90909,4508.60606,4225.787878,4365.393939,4991.818181,4170.666666,-1
3917.727272,3880.636363,4315.424242,4511.696969,4218.060606,4360.242424,4999.545454,4174.272727,-1
3917.727272,3876.515151,4312.333333,4511.696969,4217.030303,4358.181818,5007.272727,4169.636363,-1
3918.757575,3873.424242,4308.727272,4505.515151,4221.666666,4362.818181,4998.515151,4168.090909,-1
3918.757575,3876.515151,4311.818181,4503.969697,4222.696969,4365.393939,4993.878787,4170.151515,-1
3917.727272,3870.848484,4309.242424,4508.090909,4216.515151,4363.333333,5002.121212,4172.727272,-1
3918.757575,3868.272727,4305.121212,4509.121212,4213.424242,4361.787878,5003.666666,4179.939394,-1
3917.212121,3876,4309.242424,4507.575757,4216,4358.696969,4997.484848,4178.393939,-1
3914.636363,3874.454545,4308.727272,4509.121212,4211.878787,4352.515151,4994.90909,4167.575757,-1
3917.727272,3863.636363,4301,4508.090909,4200.545454,4347.878787,4991.30303,4167.060606,-1
3917.727272,3864.666666,4300.484848,4505,4199,4350.454545,4989.757575,4172.212121,-1
3916.696969,3869.818181,4303.060606,4509.636363,4207.757575,4355.60606,4998.515151,4172.727272,-1
3917.727272,3863.121212,4298.939394,4511.181818,4209.818181,4354.060606,4997.484848,4166.545454,-1
3917.212121,3863.121212,4298.424242,4505.515151,4205.181818,4352,4987.696969,4164.484848,-1
3916.181818,3869.30303,4301.515151,4506.545454,4209.30303,4356.636363,4988.212121,4172.212121,-1
3916.181818,3868.272727,4302.545454,4510.666666,4214.454545,4358.181818,4994.90909,4179.424242,-1
3918.242424,3869.818181,4301,4507.060606,4211.878787,4352,4994.90909,4175.818181,-1
3916.696969,3874.969697,4299.454545,4506.030303,4205.181818,4347.878787,4990.787878,4167.575757,-1
3916.181818,3871.878787,4302.030303,4509.121212,4206.212121,4350.454545,4987.696969,4170.666666,-1
3915.151515,3865.181818,4301,4509.121212,4209.30303,4347.878787,4983.060606,4173.757575,-1
3911.545454,3867.242424,4297.90909,4508.60606,4208.272727,4343.242424,4981,4170.151515,-1
3912.575757,3869.30303,4298.424242,4507.060606,4207.242424,4346.848484,4983.060606,4165,-1
3917.212121,3865.696969,4299.969697,4505,4204.666666,4350.454545,4988.212121,4166.030303,-1
3916.181818,3865.696969,4298.939394,4507.060606,4204.666666,4350.454545,4994.393939,4175.30303,-1
3914.121212,3866.212121,4298.424242,4509.121212,4208.787878,4350.969697,4992.333333,4180.969697,-1
3915.151515,3866.212121,4298.424242,4509.121212,4205.181818,4352,4987.696969,4178.90909,-1
3917.212121,3866.212121,4295.333333,4505,4196.424242,4347.878787,4989.242424,4176.848484,-1
3919.272727,3865.696969,4294.30303,4500.878787,4195.90909,4342.212121,4983.060606,4174.787878,-1
3917.212121,3865.696969,4296.878787,4504.484848,4202.60606,4344.272727,4977.90909,4177.363636,-1
3915.151515,3867.242424,4297.90909,4513.242424,4210.848484,4355.60606,4992.848484,4187.666666,-1
3915.666666,3869.30303,4299.969697,4513.757575,4219.090909,4359.212121,5003.151515,4186.121212,-1
3915.151515,3868.272727,4302.030303,4510.151515,4213.424242,4350.454545,4990.787878,4178.393939,-1
3916.696969,3866.212121,4298.939394,4511.181818,4200.030303,4345.30303,4980.484848,4179.939394,-1
3918.242424,3866.727272,4292.757575,4508.60606,4200.030303,4347.363636,4984.60606,4180.454545,-1
3916.696969,3867.242424,4293.272727,4507.060606,4204.151515,4349.424242,4988.727272,4177.878787,-1
3916.696969,3864.666666,4295.333333,4510.151515,4201.060606,4350.454545,4992.333333,4180.454545,-1
3917.727272,3865.181818,4295.333333,4510.151515,4205.181818,4349.424242,4993.878787,4190.242424,-1
3916.696969,3867.242424,4294.818181,4508.60606,4209.30303,4349.424242,4990.787878,4188.181818,-1
3916.696969,3866.212121,4294.30303,4509.636363,4206.212121,4351.484848,4989.757575,4174.272727,-1
3918.242424,3864.151515,4295.333333,4506.545454,4206.727272,4350.969697,4991.30303,4173.242424,-1
3915.151515,3864.666666,4296.363636,4504.484848,4203.121212,4348.393939,4993.878787,4183.545454,-1
3912.575757,3865.696969,4296.363636,4505,4192.30303,4345.30303,4987.696969,4177.878787,-1
3916.696969,3864.151515,4296.878787,4504.484848,4192.30303,4341.696969,4975.848484,4166.030303,-1
3918.242424,3863.636363,4297.393939,4505.515151,4196.424242,4341.696969,4976.363636,4173.242424,-1
3917.212121,3862.60606,4293.787878,4506.545454,4191.787878,4343.757575,4981.515151,4176.848484,-1
3918.242424,3860.545454,4293.272727,4506.030303,4190.242424,4341.696969,4983.060606,4171.181818,-1
3917.212121,3861.575757,4298.939394,4508.60606,4201.060606,4344.787878,4990.787878,4177.363636,-1
3915.666666,3865.696969,4299.969697,4511.696969,4209.30303,4352,4998.515151,4184.575757,-1
3915.151515,3866.212121,4297.393939,4510.151515,4206.727272,4352.515151,4994.90909,4187.151515,-1
3915.666666,3864.151515,4298.939394,4509.121212,4204.666666,4349.939394,4992.333333,4190.242424,-1
3916.181818,3864.151515,4300.484848,4511.181818,4204.151515,4346.333333,4992.333333,4186.636363,-1
3915.666666,3864.666666,4299.454545,4509.121212,4203.121212,4347.363636,4993.363636,4186.636363,-1
3916.696969,3864.151515,4299.454545,4508.60606,4204.151515,4352.515151,4995.424242,4191.272727,-1
3918.242424,3863.121212,4295.848484,4509.636363,4205.181818,4350.454545,4988.727272,4187.666666,-1
3918.757575,3864.151515,4295.848484,4508.60606,4205.696969,4345.818181,4980.484848,4183.545454,-1
3917.727272,3862.60606,4296.878787,4507.575757,4202.60606,4348.393939,4986.666666,4186.636363,-1
3917.212121,3857.969697,4292.757575,4508.60606,4200.030303,4347.363636,4992.848484,4185.60606,-1
3919.787878,3855.909091,4293.272727,4510.151515,4206.212121,4342.212121,4981.515151,4180.454545,-1
3918.242424,3851.787878,4299.969697,4511.181818,4213.424242,4346.848484,4970.181818,4179.424242,-1
3914.636363,3852.818181,4302.030303,4512.727272,4208.272727,4351.484848,4976.878787,4180.454545,-1
3915.151515,3860.545454,4298.939394,4510.666666,4201.060606,4345.818181,4983.060606,4183.545454,-1
3917.212121,3862.090909,4297.90909,4508.60606,4205.181818,4344.272727,4981.515151,4188.181818,-1
3919.787878,3856.424242,4295.333333,4510.151515,4207.757575,4349.939394,4987.696969,4193.333333,-1
3918.242424,3850.757575,4288.121212,4509.636363,4199.515151,4344.272727,4983.060606,4184.575757,-1
3914.636363,3850.242424,4284.515151,4506.030303,4194.363636,4331.393939,4961.939393,4168.60606,-1
3916.696969,3854.363636,4289.666666,4508.60606,4196.939394,4335,4956.272727,4171.696969,-1
3920.30303,3854.878787,4299.454545,4512.727272,4202.090909,4344.787878,4970.696969,4183.545454,-1
3917.212121,3855.909091,4299.454545,4510.151515,4209.818181,4345.818181,4983.060606,4183.030303,-1
3914.636363,3859.515151,4296.363636,4509.121212,4209.818181,4344.787878,4986.151515,4179.939394,-1
3916.181818,3859,4299.969697,4512.212121,4206.727272,4347.363636,4987.181818,4188.696969,-1
3918.242424,3854.363636,4299.969697,4510.151515,4212.393939,4346.848484,4988.727272,4189.212121,-1
3917.212121,3852.30303,4291.212121,4509.121212,4213.939394,4341.696969,4979.969696,4171.181818,-1
3917.727272,3849.727272,4285.545454,4508.60606,4206.727272,4337.060606,4962.969696,4160.878787,-1
3916.696969,3845.60606,4285.030303,4508.090909,4199.515151,4332.939394,4958.333333,4170.151515,-1
3913.60606,3847.666666,4284.515151,4508.60606,4193.333333,4333.454545,4968.636363,4178.90909,-1
3915.151515,3848.696969,4288.636363,4510.666666,4192.30303,4337.575757,4979.969696,4178.393939,-1
3919.272727,3849.727272,4291.212121,4511.696969,4197.969697,4340.151515,4983.575757,4174.787878,-1
3918.242424,3852.30303,4290.181818,4507.060606,4194.363636,4338.60606,4981.515151,4171.181818,-1
3914.636363,3852.818181,4286.575757,4503.969697,4184.060606,4336.030303,4980.484848,4165.515151,-1
3915.666666,3851.272727,4286.575757,4507.060606,4187.151515,4337.060606,4982.030303,4161.90909,-1
3919.272727,3854.363636,4292.242424,4508.60606,4192.30303,4336.545454,4974.818181,4162.424242,-1
3917.212121,3860.545454,4295.333333,4506.545454,4188.696969,4335,4975.848484,4163.454545,-1
3915.151515,3862.60606,4293.272727,4505,4185.60606,4338.090909,4992.333333,4169.636363,-1
3917.212121,3859.515151,4289.151515,4505.515151,4187.666666,4338.60606,4992.333333,4173.757575,-1
3917.727272,3855.909091,4288.121212,4506.030303,4187.151515,4333.969697,4977.393939,4171.181818,-1
3918.242424,3857.969697,4288.636363,4506.030303,4182,4332.939394,4978.424242,4171.696969,-1
3918.757575,3859.515151,4289.151515,4505,4179.939394,4335.515151,4990.272727,4169.636363,-1
3918.242424,3859.515151,4291.727272,4508.090909,4188.696969,4337.060606,4989.242424,4165.515151,-1
3916.181818,3860.030303,4293.787878,4512.727272,4196.939394,4338.60606,4983.575757,4164.484848,-1
3915.151515,3862.60606,4291.727272,4510.151515,4191.787878,4339.121212,4983.575757,4161.90909,-1
3914.636363,3862.090909,4285.030303,4506.545454,4188.181818,4335,4980.484848,4158.30303,-1
3914.636363,3857.969697,4283.484848,4508.090909,4193.848484,4332.939394,4977.393939,4160.878787,-1
3916.181818,3858.484848,4286.575757,4505.515151,4197.454545,4339.121212,4987.696969,4170.666666,-1
3916.696969,3859.515151,4284.515151,4503.454545,4193.333333,4344.272727,5002.636363,4170.666666,-1
3916.696969,3855.909091,4283.484848,4507.575757,4183.030303,4337.575757,4999.030303,4163.969697,-1
3917.212121,3849.212121,4284,4509.121212,4179.939394,4331.393939,4983.060606,4159.333333,-1
3914.121212,3846.121212,4283.484848,4503.969697,4180.969697,4331.393939,4972.242424,4155.727272,-1
3911.030303,3850.242424,4281.939394,4504.484848,4179.424242,4330.363636,4968.121212,4153.151515,-1
3915.151515,3854.878787,4282.454545,4510.666666,4180.969697,4329.848484,4969.666666,4158.30303,-1
3919.272727,3854.363636,4286.060606,4510.151515,4189.727272,4335,4976.363636,4164.484848,-1
3918.242424,3857.454545,4284,4509.121212,4192.30303,4334.484848,4978.939393,4166.030303,-1
3917.212121,3860.030303,4280.90909,4509.121212,4186.636363,4327.787878,4974.818181,4162.424242,-1
3916.696969,3854.878787,4284.515151,4508.090909,4190.242424,4330.363636,4976.363636,4156.757575,-1
3916.696969,3852.30303,4285.545454,4509.121212,4196.424242,4337.060606,4976.878787,4160.878787,-1
3917.212121,3855.393939,4282.969697,4508.60606,4194.878787,4333.454545,4966.060606,4169.121212,-1
3915.151515,3853.333333,4284,4509.121212,4195.90909,4330.878787,4960.90909,4168.090909,-1
3914.121212,3848.181818,4283.484848,4508.090909,4200.030303,4332.424242,4966.575757,4161.393939,-1
3914.636363,3849.212121,4279.878787,4506.030303,4199.515151,4332.939394,4972.757575,4159.333333,-1
3918.242424,3854.363636,4280.90909,4508.090909,4200.030303,4336.545454,4975.848484,4165,-1
3920.30303,3860.545454,4285.030303,4511.696969,4202.60606,4339.636363,4974.818181,4169.636363,-1
3917.727272,3858.484848,4286.060606,4509.121212,4201.060606,4335.515151,4970.181818,4167.060606,-1
3917.727272,3849.727272,4284.515151,4506.030303,4196.939394,4330.363636,4966.060606,4155.212121,-1
3918.757575,3847.151515,4282.454545,4508.090909,4191.272727,4329.848484,4959.878787,4153.666666,-1
3916.696969,3845.60606,4281.939394,4508.60606,4192.30303,4331.90909,4955.242424,4163.454545,-1
3915.666666,3845.60606,4282.969697,4507.575757,4195.393939,4331.393939,4957.30303,4163.969697,-1
3918.242424,3850.242424,4286.060606,4508.60606,4196.939394,4331.90909,4964,4158.818181,-1
3918.242424,3853.333333,4288.636363,4510.666666,4201.575757,4337.575757,4972.242424,4161.393939,-1
3916.696969,3851.787878,4286.060606,4509.636363,4204.666666,4341.181818,4975.333333,4165,-1
3918.242424,3851.272727,4282.454545,4507.575757,4199,4336.545454,4965.030303,4162.424242,-1
3916.696969,3852.30303,4284,4510.151515,4194.878787,4333.454545,4953.696969,4162.939394,-1
3915.151515,3851.787878,4286.575757,4508.60606,4195.90909,4333.454545,4963.484848,4164.484848,-1
3917.727272,3848.696969,4284.515151,4504.484848,4190.242424,4328.818181,4972.242424,4157.272727,-1
3918.242424,3848.181818,4282.454545,4508.090909,4187.151515,4328.30303,4960.90909,4153.666666,-1
3916.696969,3848.696969,4281.939394,4509.121212,4194.878787,4332.939394,4949.575757,4160.878787,-1
3916.696969,3847.151515,4281.424242,4505,4197.969697,4332.939394,4952.151515,4162.939394,-1
3917.212121,3847.151515,4281.424242,4505,4193.333333,4331.90909,4960.90909,4160.878787,-1
3917.212121,3848.181818,4280.393939,4508.090909,4191.272727,4332.939394,4971.212121,4163.454545,-1
3916.696969,3845.60606,4280.90909,4508.090909,4193.333333,4333.454545,4974.30303,4166.545454,-1
3917.212121,3844.575757,4282.454545,4506.545454,4192.818181,4335,4961.939393,4167.060606,-1
3917.727272,3847.666666,4284,4508.090909,4186.121212,4333.969697,4954.727272,4166.030303,-1
3916.181818,3849.212121,4284.515151,4509.121212,4188.181818,4331.90909,4961.939393,4165.515151,-1
3916.181818,3848.696969,4286.060606,4506.545454,4195.393939,4335,4964,4171.181818,-1
3916.696969,3849.727272,4285.030303,4506.545454,4193.333333,4337.060606,4960.90909,4170.666666,-1
3915.666666,3849.212121,4281.939394,4506.545454,4188.696969,4332.939394,4960.90909,4162.939394,-1
3916.696969,3850.757575,4282.969697,4505,4187.666666,4330.878787,4965.030303,4166.030303,-1
3917.727272,3854.878787,4285.545454,4503.454545,4188.181818,4335,4969.666666,4176.848484,-1
3915.151515,3852.818181,4284,4501.90909,4185.60606,4332.939394,4964,4175.30303,-1
3914.636363,3848.696969,4281.424242,4502.424242,4180.969697,4323.151515,4954.212121,4163.969697,-1
3917.727272,3849.212121,4282.969697,4505,4180.969697,4320.575757,4955.757575,4161.90909,-1
3917.727272,3848.181818,4285.030303,4506.545454,4186.121212,4325.727272,4956.787878,4159.333333,-1
3914.636363,3848.181818,4282.969697,4506.030303,4185.090909,4325.727272,4951.636363,4157.272727,-1
3917.212121,3851.272727,4282.454545,4506.545454,4175.30303,4324.181818,4958.848484,4166.030303,-1
3919.787878,3851.272727,4280.90909,4505.515151,4171.696969,4326.242424,4966.060606,4171.181818,-1
3916.696969,3848.696969,4276.787878,4500.363636,4177.878787,4325.212121,4960.90909,4170.666666,-1
3915.666666,3849.212121,4279.878787,4501.393939,4189.212121,4324.181818,4961.939393,4175.30303,-1
3917.727272,3850.242424,4282.969697,4508.090909,4193.333333,4326.242424,4967.090909,4175.30303,-1
3917.727272,3849.212121,4273.696969,4506.030303,4181.484848,4320.575757,4957.30303,4167.060606,-1
3917.212121,3843.545454,4263.393939,4499.848484,4167.575757,4313.363636,4952.151515,4163.454545,-1
3917.727272,3840.454545,4271.121212,4505.515151,4173.242424,4316.969697,4962.454545,4163.969697,-1
3919.272727,3844.575757,4277.30303,4508.60606,4184.575757,4318.515151,4957.30303,4161.90909,-1
3919.787878,3847.666666,4270.60606,4499.848484,4177.363636,4316.454545,4952.151515,4167.575757,-1
3919.272727,3848.696969,4272.151515,4501.90909,4174.272727,4320.575757,4970.696969,4178.90909,-1
3917.212121,3848.696969,4280.393939,4514.272727,4193.333333,4326.757575,4979.969696,4184.060606,-1
3915.151515,3849.212121,4281.424242,4509.121212,4207.242424,4333.454545,4966.575757,4186.636363,-1
3915.666666,3849.727272,4280.393939,4501.90909,4196.424242,4332.424242,4955.757575,4178.393939,-1
3916.696969,3850.242424,4282.454545,4506.545454,4184.060606,4319.545454,4956.272727,4167.060606,-1
3916.181818,3850.242424,4288.121212,4510.666666,4193.333333,4317.484848,4960.393939,4171.181818,-1
3916.181818,3847.151515,4293.787878,4511.696969,4201.575757,4322.121212,4959.878787,4174.787878,-1
3916.696969,3846.636363,4291.727272,4509.636363,4192.30303,4318,4956.787878,4164.484848,-1
3917.727272,3848.181818,4281.939394,4506.030303,4187.151515,4315.939394,4956.272727,4160.878787,-1
3916.181818,3849.727272,4282.454545,4507.060606,4198.484848,4326.242424,4960.393939,4173.242424,-1
3915.666666,3852.30303,4287.60606,4507.060606,4208.787878,4335,4961.939393,4187.151515,-1
3915.666666,3851.272727,4283.484848,4501.90909,4203.121212,4330.363636,4960.90909,4190.242424,-1
3916.181818,3847.666666,4280.393939,4503.454545,4194.363636,4323.151515,4959.878787,4183.545454,-1
3915.666666,3846.636363,4281.939394,4512.212121,4195.393939,4322.121212,4956.787878,4177.878787,-1
